Time,WC,WT,WL,AH,AT,HS
Sun May 15 13:03:42 2022,32.85109126655749,25.75,4267,73.30641272067848,22.5607421875,0
Sun May 15 13:04:14 2022,32.69266957617398,25.6875,4270,82.33815855166736,22.5505859375,0
Sun May 15 13:04:46 2022,33.40450706447016,25.6875,4202,81.73403447562113,22.5810546875,0
Sun May 15 13:05:18 2022,33.5120033228718,25.6875,4141,82.4702174052225,22.5453125,0
Sun May 15 13:05:50 2022,33.92399918827044,25.6875,4118,71.35327175066261,22.49453125,0
Sun May 15 13:06:22 2022,33.55548519309896,25.625,4033,68.33478531222396,22.43359375,0
Sun May 15 13:06:54 2022,33.153745357523704,25.625,3958,78.30529146713802,22.408203125,0
Sun May 15 13:07:26 2022,34.07764714840731,25.5625,3888,79.11133779393387,22.403125,0
Sun May 15 13:07:58 2022,33.10237234718333,25.625,3768,69.87576081086598,22.3625,0
Sun May 15 13:08:30 2022,33.514400211411484,25.5625,3684,73.28831667256355,22.3421875,0
Sun May 15 13:09:02 2022,33.56432810591621,25.5625,3625,69.03334297919498,22.33203125,0
Sun May 15 13:09:34 2022,31.664621342406022,25.5,3499,79.18527491687496,22.326953125,0
Sun May 15 13:10:06 2022,33.102216453400196,25.5,3365,73.05796711408306,22.337109375,0
Sun May 15 13:10:38 2022,33.56319144703795,25.5,3353,78.78280824005205,22.3421875,0
Sun May 15 13:11:10 2022,33.50944256767184,25.4375,3184,68.04115539642052,22.306640625,0
Sun May 15 13:11:44 2022,32.94885784568107,25.4375,3095,75.60128449511492,22.31171875,0
Sun May 15 13:12:16 2022,32.69500990755198,25.4375,2858,69.45059667932094,22.296484375,0
Sun May 15 13:12:48 2022,33.474807255393245,25.4375,2763,73.28884686508826,22.2708984375,0
Sun May 15 13:13:20 2022,32.897627205914965,25.375,2684,76.02428421291813,22.286328125,0
Sun May 15 13:13:52 2022,32.93717380056913,25.375,2507,75.60193971413212,22.2505859375,0
Sun May 15 13:14:24 2022,33.20495847758808,25.375,2357,79.01190199448878,22.2607421875,0
Sun May 15 13:14:56 2022,32.982045289967765,25.375,2138,76.21369068008677,22.2455078125,0
